ITEM_20150317_000001	Empty_Helmet	없음_helmet
ITEM_20150811_006261	Sisa-sisa dari Thornball cepat membakar. Hujan tidak menjadi masalah untuknya.	불에 아주 잘 타는 던볼의 잔해. 비가 와도 문제 없습니다.
ITEM_20150811_006262	Cairan dengan bau asam yang keluar dari kuku jari kaki.	발톱의 끝에서 신 냄새가 나오는 액체가 흘러나옵니다.
ITEM_20150811_006263	Cairan yang berguna untuk mengeluarkan mini Griva, yaitu parasit pada rambut Greepelli.	트리펠리 털에 기생하는 미니 그리바를 내쫓는데 유용한 액체.
ITEM_20150811_006264	Adele merawat cincin ini. Ayo kembalikan pada Adele.	아델레가 소중히 여기는 반지. 아델레에게 돌려 주세요.
ITEM_20150811_006265	Solution acid yang kuat, bahkan mampu melelehkan tanaman berduri.	가시 줄기를 녹일 정도의 강한 산성을 지닌 산성 용액.
ITEM_20150811_006266	Operor's spit memiliki kekuatan untuk menyucikan crystal yang rusak.	탁한 마력수정을 정화시켜 줄 힘을 지닌 오페러의 침.
ITEM_20150811_006267	Magical crystal yang telah disucikan. Bisa menghilangkan tanaman merambat yang menghalang.	완전히 정화된 마력 수정. 이것으로 길을 막고 있는 가시 덩굴을 없앨 수 있습니다.
ITEM_20150811_006268	Highly Volatile Sap. Item penting untuk membakar tanaman merambat yang basah.	휘발성이 강한 수액. 비에 젖은 가시덩굴을 불태우려면 꼭 필요합니다.
ITEM_20150811_006269	Medicine yang berfungsi untuk menyadarkan pikiran.	정신을 되찾을 때 효력이 있다는 약.
ITEM_20150811_006270	Kalahkan Choralrus dan dapatkan crystal of power ini. Ini digunakan untuk membuat crystal of light.	코릴러스를 처치하고 얻은 힘의 결정. 빛의 결정을 만드는데 쓰입니다.
ITEM_20150811_006271	Crystal diisi dengan energi yang cukup untuk mengaktifkan underground enchantment.	지하 결계를 활성화 시킬 수 있는 충전제.
ITEM_20150811_006272	Sebuah peta yang menunjukan semua yang ada di Sirdgela Forest. Terdapat tanda silang disepanajang peta.	시르드겔라 숲 지역을 한 눈에 볼 수 있는 지도. 중간 중간에 표시가 되어 있습니다.
ITEM_20150811_006273	Sari duri yang berguna untuk menghilangkan hal jahat.	악한 기운을 내쫓는데 유용한 가시 꽃가루.
ITEM_20150811_006274	Sebuah kait digunakan untuk mengikat tuas cable car.	케이블 카 레버의 손잡이 부분을 단단히 고정시키는 고정쇠.
ITEM_20150811_006275	Bagian berbentu roda yang monster miliki. Jelas ini adalah bagian dari cable car.	몬스터들이 가지고 있던, 톱니 바퀴 보양의 부속품. 케이블 카의 부품임이 틀림 없습니다.
ITEM_20150811_006276	Plateau yang berasa manis seperti gula. Hewan kecil menyukainya.	단맛이 가득한 고원 특산 사탕무. 어린 짐승들이 좋아합니다.
ITEM_20150811_006277	Part didapat di sekitar cable car yang rusak.	파괴된 케이블카 주변에서 습득한 부품.
ITEM_20150811_006278	Medicine yang baik untuk polusi karena energi yang tidak jelas.	탁한 기운에 오염이 될 때 사용하면 효력이 있는 약.
ITEM_20150811_006279	Fragara's Resin merupakan bahan untuk membuang hal jahat.	악한 기운을 내쫓는데 유용한 푸른 프라가라스의 진액.
ITEM_20150811_006280	Ceremonial ropes yang dibawa keililing oleh Panto Magician	판토 마법사가 지니고 다니는 의식용 밧줄.
ITEM_20150811_006281	Rambut kuda dari mengalahkan Mushcaria	머슈카리아를 처치하고 목덜미에서 얻어낸 갈기.
ITEM_20150811_006282	Legend divine sphere untuk mengalahkan Gesti. Bukan sekarang.	제스티를 물리칠 때 사용할 전설의 성구. 아직은 사용할 때가 아닌 듯 보입니다.
ITEM_20150811_006283	Legend divine sphere untuk mengalahkan Gesti. Harus diisi untuk menggunakannya.	제스티를 물리칠 때 사용할 전설의 성구. 사용 가능한 수준까지 어느정도의 충전이 더 필요합니다.
ITEM_20150811_006284	Legend divine sphere untuk mengalahkan Gesti. Siap untuk digunakan	제스티를 물리칠 때 사용할 전설의 성구. 사용할 준비가 다 되었습니다.
ITEM_20150811_006285	Jimat berisikan shaman doll. Shamand doll akan diaktifkan ketika penggunaan.	주술인형을 담은 촉매. 이것을 사용하면 주술인형이 나타납니다.
ITEM_20150811_006286	Tiruan diberikan oleh Kevin. Butuh waktu untuk menyelesaikan.	케빈이 건네 준 위조품. 아직 마무리가 필요합니다.
ITEM_20150811_006287	Ketika digunakan pada monster, power monster akan dikurangi.	몬스터에게 사용하면 힘을 약화시킬 수 있습니다.
ITEM_20150811_006288	Bongkahan dari altar pada second floor of the Chapel.	성당 지상 2층 중앙 제단의 부서진 조각.
ITEM_20150811_006289	Ketika digunakan, Demon tidak bisa melihat player selama 10 detik. Efek akan hilang ketika kamu attack atau terkena damage.	사용하면 10초간 마족들에게 사용자의 모습이 보이지 않습니다. 공격하거나 공격받으면 해당 효과가 사라집니다.
ITEM_20150811_006290	Ketika digunakan, Divine Spirit muncul dan menghasut Demon di sekitar.	사용하면 주변 마족을 닮은 성령이 등장하여 마족 몬스터들을 도발합니다.
ITEM_20150811_006291	Kunci untuk menemukan wahyu dan tempat tersembunyi.	계시와 숨겨진 장소를 찾을 수 있는 특별한 열쇠.
ITEM_20150811_006292	Membuat efek awakening jika dicampur dengan Thorn Flower Powder Stimulant.	가시 꽃 가루 각성제에 섞이면 강력한 각성 효과를 냅니다.
ITEM_20150811_006293	Memiliki efek yang lebih baik dari Thorn Flower Powder.	가시 꽃가루 각성제보다 강력한 효과를 냅니다.
ITEM_20150811_006294	Memberikan efek awakening jika dicampur dengan Merog's Spit.	메로그의 침과 섞이면 강력한 각성효과를 냅니다
ITEM_20150811_006295	Bahan yang diminta Elementalist Master kepadamu  untuk membuktikan.	엘리멘탈리스트 마스터가 자격을 증명하기 위해 요구한 재료.
ITEM_20150811_006296	Botol untuk membawa air segar yang dilapisi kekuatan spiritual	영력이 깃든 담수를 받기 위한 용기.
ITEM_20150811_006297	Terlihat lemah..bahkan musuh yang dilapisi charm ini akan hidup untuk kembali dalam mind control.	부착한 적이 죽으면 우리 편으로 세뇌되어 되살아 난다만.. 뭔가 허술해 보입니다.
ITEM_20150811_006298	Sebuah pot diisi energi sihir yang mengalir melalui Royal Tomb.	왕릉을 흐르는 마력을 가득 담은 항아리.
ITEM_20150811_006299	Material yang bisa mengucapkan karakteristik Obelisk. Memiliki level acid yang tinggi.	오벨리스크에 문자를 다시 새겨넣을 때 필요한 재료. 강한 산성을 띄고 있습니다.
ITEM_20150811_006300	Paralysis powder yang dapat membuat pingsan Black Maize in Vieta Gorge.	비에타 계곡의 검은 마이즈를 기절시킬 수 있는 마비가루.
ITEM_20150811_006301	Material yang berguna untuk menandai karakter pada Obelisk. Berwarna hitam.	오벨리스크에 문자를 다시 새겨넣을 때 필요한 물감의 재료. 새까맣습니다.
ITEM_20150811_006302	Material yang berguna untuk menandai karakter pada Obelisk. {nl}Terlalu lengket.	오벨리스크에 문자를 다시 새겨넣을 때 필요한 재료. 굉장히 끈적거립니다.
ITEM_20150811_006303	Scroll yang menandai symbol of divine Paladine pada Demon.	마족 몬스터에게 성스러운 팔라딘의 상징을 새겨넣는 스크롤.
ITEM_20150811_006304	Energi suci dari kuil masih merasuki mereka.	신전의 성스러운 기운이 남아있습니다.
ITEM_20150811_006305	Kunci untuk melepas ikatan bangsal oleh Goddess Saule	사울레 여신이 묶여 있는 마족의 구속구를 해제하기 위한 열쇠.
ITEM_20150811_006306	Balsem digunakan untuk memperbaiki Statue of Goddess. Fungsinya tidak biasa dan berbau lembut	여신상을 보수할 때 사용하는 향유. 독특하면서도 은은한 향이 특징입니다.
ITEM_20150811_006307	Balsem digunakan untuk memperbaiki Statue of Goddess. Fungsinya tidak biasa dan berbau lembut	여신상을 보수할 때 사용하는 향유. 독특하면서도 은은한 향이 특징입니.
ITEM_20150811_006308	Memiliki efek diucapkan.	가죽으로 만든 모든 제품의 광택과 보호에 뛰어난 효과가 있습니다.
ITEM_20150811_006309	Izin digunakan agar kapal untuk masuk pelabuhan, untungnya itu dibaca	배가 항구에 들어오려면 반드시 필요한 허가서. 읽어볼 수 있습니다.
ITEM_20150811_006310	Map penting untuk berlayar. Berisikan arus samudera dan arah angin.	항해를 떠나려면 꼭 필요한 지도. 해류와 바람의 방향이 적혀 있습니다.
ITEM_20150811_006311	Apa itu Contract?	이건 무슨 계약서일까요?
ITEM_20150811_006312	Fluid yang ditemukan dari Moya	모야에게서 갓 뽑아낸 따끈따끈한 체액 샘플.
ITEM_20150811_006313	Arrow sample dibuat oleh Master Fletcher. Memiliki keseimbangan yang baik.	플레쳐 마스터가 만들어 준 화살 견본. 밸런스가 잘 잡혀 있습니다.
ITEM_20150811_006314	Pohon yang Master Fletcher cari. Memiliki suara yang indah ketika bersentuhan.	플레쳐 마스터가 찾는 나무. 두들기면 맑은 소리가 들립니다.
ITEM_20150811_006315	Sebuah pancing yang terbuat dari kayu berharga nelayan , dari mana Kamu dapat mendengar suara siulan . Periksalah dengan terbuka .	피셔맨이 애지중지하는 나무로 만든 낚시대. 이 중에 맑은 소리가 나는 나무가 있습니다. 두들겨서 확인해 보세요.
ITEM_20150811_006316	Sebuah tabung sederhana yang dapat menembak panah neurotoxin	신경독을 발사할 수 있는 간이 대롱.
ITEM_20150811_006317	Sebuah racun khusus yang terbuat dari cairan tubuh yang Stoulet ini. Hanya bereaksi dengan panah neurotoxin digunakan dengan tabung sederhana.	스타울리트의 체내에 있는 특별한 독. 간이 대롱의 신경독에만 반응합니다.
ITEM_20150811_006318	Taktik mudah untuk beginner of Centurions. Cukup sulit dihapal bagi yang belum berpengalaman.	센츄리온 입문자를 위해 아주 쉽게 쓰여진 병법서, 숙련되지 않은 사람은 이해하기 힘듭니다
ITEM_20150811_006319	Flare yang biasa digunakan oleh Scout. Digunakan untuk mencari monster yang bersembunyi.	스카우트들이 즐겨 사용하는 섬광탄. 숨어있는 몬스터를 찾는 데 쓰인다고 합니다.
ITEM_20150811_006320	Rubbing Lydia Schaffen yang diminta oleh Master Quarrel Shooter untuk tes.	쿼렐슈터 마스터가 시험의 일환으로 부탁한 리디야 샤펜의 탁본.
ITEM_20150811_006321	Jewel yang dikuasai oleh kutukan yang sangat kuat. Jewel ini seperti memanggil-manggil seseorang.	매우 강력한 저주에 걸려 있는 보석. 누군가를 계속 부르는 듯 합니다.
ITEM_20150811_006322	Jar of fire didapatkan dari Mostems. Mostems mengumpulkannya.	모스템으로부터 획득한 불항아리. 모스템이 애지중지 한다고 합니다.
ITEM_20150811_006323	Blue Fisherman Bone.Terlalu kecil untuk dipegang.	푸른 피셔맨의 뼈. 작아서 잘 집히지 않습니다.
ITEM_20150811_006324	Aku merasa tidak enak.	굉장히 기분 나쁩니다.
ITEM_20150811_006325	Beak Of Harpeia. Sangat tajam.	하르피아의 부리. 굉장히 날카롭습니다.
ITEM_20150811_006326	Saat kamu dalam keadaan darurat, hal ini membantu kamu dengan mudah menggagalkan musuh kamu. Pow!	위기상황에서 적들을 따돌리는데 용이합니다. 펑!
ITEM_20150811_006327	Tali dengan simpul. Digunakan untuk melempar atau mengikat musuh.	올가미가 달린 포승줄. 적에게 던져 옭아매는데 쓰입니다.
ITEM_20150811_006328	Letter of Introduction yang Sapper Master tulis untuk Highlander Master	새퍼 마스터가 하이랜더 마스터에게 보여주라고 한 소개장.
ITEM_20150811_006329	Konfirmasi Highlander Master menyuruhku bersiap untuk kemajuanmu	하이랜더 마스터가 당신의 전직을 위해 준비해준 확인증.
ITEM_20150811_006330	Sebuah crystal yang mempunyai kemampuan Tanu untuk memurnikan.	타누가 속에 품고 있는 정화의 능력을 가진 구슬.
ITEM_20150811_006331	Liquid didapat dari Gorge Metoses. Digunakan sebagai ingredient dalam medicine untuk mengurangi gejala penyakit jiwa.	협곡 메토스에서 뽑아낸 진액. 정신이 오락가락하는 증상을 완화시키기 위한 약의 재료로 쓰입니다.
ITEM_20150811_006332	Catatan relik  tersalin sebagai perintah Kepact. Hanya bentuk dan ukuran relic yang tercatat.	케펙이 하라는 대로 베껴 쓴 유물의 기록. 모양과 크기를 기록하면 될 것 같습니다.
ITEM_20150811_006333	Surat hancur yang ditemukan dari sebuah mayat. Temukan tempat untuk meletakan relicnya.	시신에서 발견된 찢어진 편지. 유품을 전해줄 곳이 어딘지 찾아보세요.
ITEM_20150811_006334	Scroll yang menggambarkan secret moves of the legendary thief, Zubeck. Ketika digunakan akan memberikanmu 1 stat point.	전설의 도둑 즈벡의 비기가 담긴 스크롤입니다. 사용하면 스탯 포인트를 1만큼 얻습니다.
ITEM_20150811_006335	Gem berisikan aura api. Nantinya akan berguna untuk Goddess Gabija.	불의 기운을 담을 수 있는 보석. 여신 가비야에게 어떻게든 도움이 될 것입니다.
ITEM_20150811_006336	Sebuah ramuan yang membuat orang merasa lemah.	몸이 나른해지는 풀.
ITEM_20150811_006337	Bunga dengan aroma yang kuat. Rumor mengatakan jiwa-jiwa menghuni pada bunga ini.	향이 매우 강한 꽃. 영혼이 깃들어 있다는 설이 있습니다.
ITEM_20150811_006338	Bom dibuat untuk mengalahkan monster di Andail Village	안데일 마을에서 몬스터를 막을 용도로 만들어 둔 폭약.
ITEM_20150811_006339	Kandungan kimiawi dari Languid Herb telah dikonsentrasikan untuk digunakan dalam bom ini.	나른초의 나른해지는 성분을 강화시킨 폭탄.
ITEM_20150811_006340	Umpan digunakan untuk menarik perhatian Sparnas. Dibuat dengan mengikat gandum tua bersamaan.	스파르나스를 유인할 때 사용할 미끼. 오래된 곡식을 뭉쳐서 만들었습니다.
ITEM_20150811_006341	Supply permintaan supplier untuk diantar ke Danus Unit.	보급관이 다뉴스 부대에 먼저 갖다줄 것을 요청한 간이 보급품.
ITEM_20150811_006342	Kantong persediaan dijarah oleh Vubbes. Ayo, bawa ini ke Yukurt untuk menyelidiki perlaku tak lazim dari Vubbes.	부베들의 약탈해 갔던 보급품 주머니. 부베들의 이상행동에 대한 단서가 될 수도 있으니 유커트에게 갖다 주세요.
ITEM_20150811_006343	Oil dengan bau busuk dari Doki's scent	더키의 냄새가 요동치는 기름.
ITEM_20150811_006344	Tool yang digunakan untuk memperbaiki scarecrow.	허수아비를 수리하는 공구가 잔뜩 들어있습니다.
ITEM_20150811_006345	Tanda ditemukan dari Chapparition. Suara orang tak berdosa yang terbunuh menggema darinya.	채퍼리션이 가지고 있던 표식. 억울한 원혼의 목소리가 들리는 듯 합니다.
ITEM_20150811_006346	Kalung yang hantu minta antarkan pada adiknya. Pendant cantik terikat di sini.	영혼이 자신의 동생에게 전해달라고 부탁한 목걸이. 수수한 펜던트가 달려 있습니다.
ITEM_20150811_006347	Tas berisi banyak uang. Apa yang Reaper lakukan dengan ini?	돈이 잔뜩 든 자루. 리퍼는 도대체 무얼 한 걸까요.
ITEM_20150811_006348	Pesan dari utusan .. Mari kita membacanya?	심부름꾼의 쪽지. 읽지 말라곤 했는데.. 읽어 볼까요?
ITEM_20150811_006349	Ada puisi di dalamnya untuk memuja jiwa yang mati ketika sedang mencari Royal Tomb.	왕릉을 연구하다 죽은 이들을 달래기 위한 내용이 적혀 있습니다.
ITEM_20150811_006350	Halaman yang sobek dari sebuah buku. Sepertinya sang penulis adalah Shaman Show.	여기저기에 흩어져 있는 마법서의 낱장. 저자는 사이먼 쇼우입니다.
ITEM_20150811_006351	Pilgrim's mark yang ditelan oleh monster. Pemiliknya tidak ditemukan.	몬스터가 삼켜 버린 순례자들의 표식. 표식의 주인들은 주변엔 없는 것 같습니다.
ITEM_20150811_006352	Coben memberikanmu kunci ini, berkata bahwa kunci ini akan membuka box. Ayo cari box-nya.	코벤이 상자 열쇠라며 건네 준 것. 이 열쇠에 맞는 상자를 찾아 보세요.
ITEM_20150811_006353	Practice Wood Carving sudah hancur.	연습용 목인이 완전히 부숴져 버렸습니다.
ITEM_20150811_006354	Practice Wood Carving yang hancur telah diperbaiki. Telah ditempa agar lebih kuat.	부숴진 연습용 목인을 수리하였습니다. 더 튼튼하게 보강도 하였습니다.
ITEM_20150811_006355	Log dibutuhkan untuk memperbaiki Practice Wood Carving	연습용 목인을 수리하는데 필요한 목재.
ITEM_20150811_006356	Rope dibutuhkan untuk memperbaiki scarecrow	연습용 목인을 고치는데 필요한 밧줄.
ITEM_20150811_006357	Orb dibutuhkan untuk menyelesaikan spell yang membangunkan Sleeping Owl yang membantu Gaigalus.	잠든 부엉이들을 깨워 가이갈라스를 처치하는데 필요한 주문을 완성시킬수 있는 구슬.
ITEM_20150811_006358	Unstable Holy Spear. Tidak bisa digunakan dalam kondisi saat ini.	불안정한 상태의 성구. 이대론 사용할 수 없습니다.
ITEM_20150811_006359	Giant canine telah didapatkan dari minotaurus of Roxona Market place	록소나 장터의 미노타우르스에게서 얻은 거대한 송곳니.
ITEM_20150811_006360	Material dibutuhkan untuk membuat jebakan yang baru Sapper Master pahami.	새퍼 마스터가 새로이 구상한 함정을 만드는데 필요한 재료.
ITEM_20150811_006361	Perhiasan kecil milik the old Legwyn Family	잃어버린 르귄가문의 장식. 화려한 장미 장식이 돋보입니다.
ITEM_20150811_006362	Holy Relic digunakan oleh Krivies sebagai simbol kesetiaan mereka. Hilang dikota oleh seseorang.	크리비들이 신앙의 상징으로 소중하게 여기는 성물. 중심시가에서 그만 잃어버리고 말았습니다.
ITEM_20150811_006363	Material permintaan Sculptor Tesla	조각가 테슬라가 요청한 조각 재료. 결이 곱습니다.
ITEM_20150811_006364	Pardoner donation bag tulisanmu telah diterbitkan	파드너의 문장이 찍힌 헌금 주머니.
ITEM_20150811_006365	Mali Seed diperoleh dari membunuh Mali.	말리를 처치하고 얻은 말리의 씨앗.
ITEM_20150811_006366	Scroll untuk summon the destroying shaman doll	파괴용 주술인형을 소환할 수 있는 주문서.
ITEM_20150811_006367	Bagian Mazas rest place yang hancur. Mungkinkah untuk diperbaiki?	파괴된 마자즈 쉼터 결계의 조각. 복구할 수 있을까요?
ITEM_20150811_006368	Material untuk membangunkan Nepenthes. Tidak akan menimbulkan api dalam keadaan seperti ini.	네펜더스를 어떻게든 깨우기 위해 필요한 재료. 이대로는 불이 붙지 않습니다.
ITEM_20150811_006369	The fat of Mallardu baik disimpan untuk membakar dengan mudah. Mari kita bangun Nepenthes dengan itu	말라두의 지방이 불에 잘 탈 수 있도록 갈무리했다. 이걸로 네펜데스를 깨우세요.
ITEM_20150811_006370	Ini pasti dikumpulkan dari Nepenthes yang hidup untuknya untuk mempunyai efek apapun.	네펜더스가 살아있을 때에 채취해야 효과가 있습니다.
ITEM_20150811_006371	Secretion yang dapat digunakan untuk menarik Biteregina	비테레지나를 유인하기 위한 분비샘.
ITEM_20150811_006372	Musuh yang tewas dengan disertai charm ini akan bergabung denganmu!	부착한 적이 죽으면 우리 편으로 세뇌되어 되살아납니다!
ITEM_20150811_006373	Wahyu pertama ditemukan di Crystal Mine. Dapat dibaca	수정광산에서 발견된 첫 번째 계시. 읽어 볼 수 있습니다.
ITEM_20150811_006374	Mata Rodelin. Kabarnya mampu menghapus indera musuh.	로델린의 눈. 이걸로 기척을 지울 수 있다고 합니다.
ITEM_20150811_006375	Material untuk membuat holy bomb. Digunakan jika telah disucikan.	성령폭탄을 만들기 위한 재료. 정화해야 쓸 수 있습니다.
ITEM_20150811_006376	Material yang diperlukan untuk membuat Holy Bomb. Hasil pemurnian dari Vicious Essence.	성령폭탄을 만들기 위한 재료. 사악한 정수를 정화하였습니다.
ITEM_20150811_006377	Setelah dimakan, ini akan mencegah demon mendeteksi keberadaanmu!	마시면 당분간 마족에게 발각되지 않습니다!
ITEM_20150811_006378	Bom dengan kekuatan suci. Kamu dapat mengalahkan Glizardon sekaligus!	성력이 깃든 폭탄. 글리자돈을 일격에 처치할 수 있습니다.
ITEM_20150811_006379	Setelah scroll digunakan, kita dapat membedakan mana Hogmas yang mengenakan necklace.	스크롤을 사용하면 목걸이를 가진 호그마를 구분할 수 있습니다.
ITEM_20150811_006380	Pada bagian belakang, "To?쫛ved Rukl..s, Lydia." terlihat.	뒷 면에 ..랑했던 루클..스 에게, 리디아가. 라고 새겨져 있습니다.
ITEM_20150811_006381	Skirt didapat dengan mengalah Pawndel and Pawnd. Ini adalah material untuk membuat demon transformation scroll.	폰델과 폰드를 처치하고 얻은 옷자락. 마족 변신 스크롤을 만들 재료입니다.
ITEM_20150811_006382	Bucket digunakan untuk membawa air. Sepertinya tali dapat diikatkan padanya.	물을 담던 양동이. 줄에 매달아 쓸 수 있을 것 같습니다.
ITEM_20150811_006383	Tali yang sangat panjang. Sepertinya bisa diikatkan pada sesuatu.	상당히 긴 줄. 무언가 매달아 쓸 수 있을 것 같습니다.
ITEM_20150811_006384	Gunakan scroll ini untuk berubah menjadi Pawndel atau Pawnd.	사용하면 폰델이나 폰드 중 하나로 변신할 수 있습니다.
ITEM_20150811_006385	Power Crystal diproses dan diisi dengan kekuatan cahaya. Benda ini dapat melepaskan sihir yang mengikat pada chapel gates.	힘의 결정을 가공하여 만든 빛의 기운이 충만한 결정. 성당 정문의 마족 결계를 해제할 수 있습니다.
ITEM_20150811_006386	Kalung tua berlumpur yang dijatuhkan oleh seseorang.	누군가가 오래 전 떨어뜨린, 낡고 흙투성이의 목걸이.
ITEM_20150811_006387	Wooden Arrow digunakan oleh High Vubbe Archer. Mungkin berguna untuk pembakaran.	하이 부베 궁수가 가지고 있던 나무 화살. 불쏘시개로 좋을 것 같습니다.
ITEM_20150811_006388	Ingredient dibutuhkan untuk membuat Crude Divining Rod yang digunakan untuk mencari First Tombstone Fragment. Kamu harus mengumpulkan ini sebanyak mungkin.	첫 번째 비석 조각을 찾기 위한 조잡한 탐사막대의 재료. 충분히 모아서 가공해야 합니다.
ITEM_20150811_006389	Tongkat peramal digunakan untuk mencari First Tombstone Fragment yang telah disembunyikan di suatu tempat bawah tanah. Terlihat cukup lemah untuk dihancurkan bahkan dengan sedikit tenaga.	땅 속 어딘가에 숨어있는 첫 번째 비석 조각을 찾기 위한 탐사막대. 힘을 조금만 가하면 부러질듯 약해 보입니다.
ITEM_20150811_006390	Getah dari pohon besar permintaan Hawker Eden. Stats medicalnya yang kuat membuatnya menjadi item bernilai tinggi.	잡상인 에당이 부탁한 몽당 나무의 수액. 약효가 뛰어나서 금전적 가치가 높은 물건.
ITEM_20150811_006391	Tool digunakan untuk mengumpulkan getah dari Tree Ambulo	트리암블로의 수액을 받아내기 위한 도구.
ITEM_20150811_006392	Part pertama dari Ruklys monument yang hilang	유실된 루클리스 기념비의 첫 번째 조각.
ITEM_20150811_006393	Part kedua dari Ruklys monument yang hilang	유실된 루클리스 기념비의 두 번째 조각.
ITEM_20150811_006394	Part ketiga dari Ruklys monument yang hilang	유실된 루클리스 기념비의 세 번째 조각.
ITEM_20150811_006395	Part keempat dari Ruklys monument yang hilang	유실된 루클리스 기념비의 네 번째 조각.
ITEM_20150811_006396	Tombstone Fragment kelima dicampur ke dalam tumpukan puing.	유실된 루클리스 기념비의 다섯 번째 조각이 섞여 있는 파편조각.
ITEM_20150811_006397	Part selesai dari Ruklys monument yang hilang	유실된 루클리스 기념비의 완성된 조각.
ITEM_20150811_006398	Kata-kata yang tidak terbaca tertulis diatasnya	뭔가 알아 볼 수 없는 글씨가 쓰여져 있습니다.
ITEM_20150811_006399	Wahyu kedua ditemukan di Tenet Church. Dibaca.	테넷 성당에서 발견된 두 번째 계시. 읽어 볼 수 있습니다.
ITEM_20150811_006400	Sebuah paket dari  Hunter Edang meminta kamu untuk mengirimkan ke epigraphist raymond	보물사냥꾼 에당이 금석학자 레이몬드에게 전달해 달라고 부탁한 꾸러미.
ITEM_20150811_006401	Sebuah fragment disiapkan sehingga epigraphist smith mudah untuk menggembalikannya	금석학자 스미드가 복원하기 쉽도록 정리해준 조각.
ITEM_20150811_006402	Bagian pertama dari nisan Lydia Schaffen. Bacalah apa yang ada di dalamnya	첫 번째 리디아 샤펜의 비석 탁본. 읽어 보세요.
ITEM_20150811_006403	Bagian kedua dari nisan Lydia Schaffen. Bacalah apa yang ada di dalamnya	두 번째 리디아 샤펜의 비석 탁본. 읽어 보세요.
ITEM_20150811_006404	Bagian ketiga dari nisan Lydia Schaffen. Bacalah apa yang ada di dalamnya	세 번째 리디아 샤펜의 비석 탁본. 읽어 보세요.
ITEM_20150811_006405	Bagian keempat dari nisan Lydia Schaffen. Bacalah apa yang ada di dalamnya	네 번째 리디아 샤펜의 비석 탁본. 읽어 보세요.
ITEM_20150811_006406	Bagian kelima dari nisan Lydia Schaffen. Bacalah apa yang ada di dalamnya	다섯 번째 리디아 샤펜의 비석 탁본. 읽어 보세요.
ITEM_20150811_006407	Bahan experiment yang diminta oleh Necromancer Drasius. Bawa ke Drasius.	사령술사 드라슈스가 주문한 실험 재료. 드라슈스에게 가져다 주세요.
ITEM_20150811_006408	Rumput air yang tumbuh di Clearawl Brook. Yang digunakan Drashus ketika memanggil roh yang kuat.	크리아울 개울에서 자라는 물풀. 드라슈스가 강력한 악령을 불러내는데 쓰입니다.
ITEM_20150811_006409	Jika kamu mengalahkan Lizardman setelah menggunakan batu ini,  itu akan mengikutimu	리자드맨에게 다가가 사용한 후 제압하면 리자드맨을 따라오게 만들 수 있는 능력이 담긴 돌.
ITEM_20150811_006410	Jika kamu mengalahkan monsters Infrobuck dengan Stone ini, maka ia akan mengikutimu	인프로버크에게 다가가 사용한 후 제압하면 인프로버크를 따라오게 만들 수 있는 능력이 담긴 돌.
ITEM_20150811_006411	Sebuah alat yang diberikan oleh Hunter  talas untuk membuat rubbings Lydia Schaffen Monuments.	리디아 샤펜의 비석 탁본작업을 위해 헌터 탈러스가 빌려준 도구.
ITEM_20150811_006412	Sebuah panah api yang dgunakan melawan Infrobucks	인프로버크를 이용해 달군 화살촉.
ITEM_20150811_006413	Charcoal didapatkan dengan mengalahkan Long-Branched Tree. Menyentuhnya akan meninggalkan bekas hitam	긴팔 나무를 처치하여 얻은 목탄. 만지면 까맣게 묻어나옵니다.
ITEM_20150811_006414	Bom yang dapat menerangi Long-Branched Tree di dalam api.	긴팔 나무에게 불을 붙일 수 있는 폭탄.
ITEM_20150811_006415	Bramble dulu mempunyai wahyu ini. Tidak terbaca - mari bawa ke Goddess Saule.	브람블이 가지고 있던 계시. 아직 읽을 수 없으니 사울레 여신께 가져가보세요.
ITEM_20150811_006416	Dikatakan benda ini mampu membangunkan Boowook yang tertidur.	잠든 부우크를 다시 깨울 수 있다고 합니다.
ITEM_20150811_006417	Batu Ajaib Zolem untuk memancing Unicorn.	유니콘을 유인하기 위해 필요한 졸렘 마석.
ITEM_20150811_006418	Tropi dari Unicorn mati. Bawalah ke Fedimian Army Officer.	유니콘을 처치하고 얻어낸 전리품. 페디미안의 군 관계자를 찾아 전해 주세요.
ITEM_20150811_006419	Penyumbat gabus yang digunakan untuk menutup barel minyak.	기름통을 틀어막고 있던 코르크 마개.
ITEM_20150811_006420	Peralatan yang digunakan untuk membuat beer.	양조업을 할 때 사용하는 도구.
ITEM_20150811_006421	Cakar Rambear yang berkeliaran di Petrified City of Verkti Squar.	석화된 도시 베르크티 광장에서 출몰하는 램베어의 발톱입니다.
ITEM_20150811_006422	Botol air berukir sandi untuk menemukan pencuri kubur Benjaminas bersembunyi di antara penjaga di Petrified City of Verkti Square.	석화된 도시 베르크티 광장의 경비병들 무리에 숨어있는 도굴꾼 벤자미나스를 찾기 위한 암호가 새겨진 물병.
ITEM_20150811_006423	Peta ini tampak kuno. Kertasnya seperti akan hancur.	아주 오래되어 보이는 지도. 금방 바스라질 것 같습니다.
ITEM_20150811_006424	Sebuah Fragrant Stone Powder didapat dari monster di Petrified City of Verkti Square.	석화된 도시 베르크티 광장의 몬스터들에게 얻은 향나는 돌가루.
